Address,Price,Size,Room Count
"Danziger Straße 73 (WE 200), Prenzlauer Berg, Berlin",2.599 €,"138,35 m²","<span class=""onlyLarge"">4</span>"
"Grünauer Straße  29, Köpenick, Berlin",1.699 €,"70,91 m²","<span class=""onlyLarge"">2</span>"
"Röbellweg 4/6, Buch, Berlin","1.931,61 €","124,62 m²","<span class=""onlyLarge"">4</span>"
"Röbellweg 10, Buch, Berlin","1.774,29 €","114,47 m²","<span class=""onlyLarge"">4</span>"
"Fischerinsel 13-15, Mitte (Ortsteil), Berlin",995 €,51 m²,"<span class=""onlyLarge"">1</span>"
"Rosenthaler Str. 45, Mitte (Ortsteil), Berlin",3.150 €,93 m²,"<span class=""onlyLarge"">3</span>"
"Heisenbergstraße 5, Charlottenburg, Berlin",3.100 €,113 m²,"<span class=""onlyLarge"">4</span>"
"Boxhagener Str. 114, Friedrichshain, Berlin",2.500 €,108 m²,"<span class=""onlyLarge"">3</span>"
"Rodenbergstraße 1, Prenzlauer Berg, Berlin",2.440 €,117 m²,"<span class=""onlyLarge"">3</span>"
"Freienwalder Str. 19A, Gesundbrunnen, Berlin",2.090 €,90 m²,"<span class=""onlyLarge"">3</span>"
"Ibsenstraße 16, Prenzlauer Berg, Berlin",1.690 €,80 m²,"<span class=""onlyLarge"">3</span>"
"Winsstraße 53, Prenzlauer Berg, Berlin",1.900 €,106 m²,"<span class=""onlyLarge"">4</span>"
"Kurfürstenstraße 44, Tiergarten, Berlin",1.890 €,71 m²,"<span class=""onlyLarge"">3</span>"
"Mühlenstraße 61-64, Friedrichshain, Berlin","3.206,58 €","123,33 m²","<span class=""onlyLarge"">3</span>"
"An der Villa Bolle 3A, Köpenick, Berlin","1.584,99 €","94,45 m²","<span class=""onlyLarge"">4</span>"
"Heidelberger Straße 29, Neukölln (Ortsteil), Berlin",520 €,40 m²,"<span class=""onlyLarge"">1</span>"
"Adolf-Wermuth-Allee 05-L-E2-WE155, Karlshorst, Berlin",Price not found,Size not found,
"Kastanienallee 51, Hellersdorf, Berlin",Price not found,Size not found,
"Danziger Straße 73 (WE 200), Prenzlauer Berg, Berlin",2.599 €,"138,35 m²","<span class=""onlyLarge"">4</span>"
"Grünauer Straße  29, Köpenick, Berlin",1.699 €,"70,91 m²","<span class=""onlyLarge"">2</span>"
"Röbellweg 4/6, Buch, Berlin","1.931,61 €","124,62 m²","<span class=""onlyLarge"">4</span>"
"Röbellweg 10, Buch, Berlin","1.774,29 €","114,47 m²","<span class=""onlyLarge"">4</span>"
"Fischerinsel 13-15, Mitte (Ortsteil), Berlin",995 €,51 m²,"<span class=""onlyLarge"">1</span>"
"Dennewitzstr. 42, Kreuzberg, Berlin",Price not found,Size not found,
"Rosenthaler Str. 45, Mitte (Ortsteil), Berlin",3.150 €,93 m²,"<span class=""onlyLarge"">3</span>"
"Heisenbergstraße 5, Charlottenburg, Berlin",3.100 €,113 m²,"<span class=""onlyLarge"">4</span>"
"Boxhagener Str. 114, Friedrichshain, Berlin",2.500 €,108 m²,"<span class=""onlyLarge"">3</span>"
